,ID,Comment,Like,Title_number
0, 워크맨-Workman              ,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎😎😎이번에는,,,특이한,,,~ 알바 시켜봤는디~~~ㅎ,,이색알바 추천쫌~~~~해줘봐~~!!",7400,0
1, 잡코리아USA - 알면 쉬운 미국 취업 TV              ,민속촌 갑분툭  일하는거 겁나 웃기네 ㅋㅋㅋㅋㅋ 끝난거지 는 또 뭐야 ㅋㅋㅋㅋㅋㅋㅋ 자막 진짜 미쳣네요 ㅋㅋ,3800,0
2, 김성희              ,ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ아니 민속촌 알바하시는 분들은 왜 친절하게 도와주시는 건데ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ,2400,0
3, 인서              ,아 저분이 저번에 신서유기에서 피카추 탱그탑 입으셨던 분이신가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 되게 기억에 남았었는데,1300,0
4, 탱귤 탱귤              ,구독자가 왜 장성규를 모르는거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,817,0
5, 밍밍이들- 동네핫플이 궁금해?              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ갑자기 민속촌 나타나는 것도 어이 없는데ㅋㅋㅋ보자마자 일시키네ㅋㅋㅋㅋㅋ,3200,0
6, W H              ,장성규가 장성규라고 하는게 그 정도로 못 믿을 일이냨ㅋㅋㅋㄱㅋ,722,0
7, 유사인간              ,뜬듬없이 민속촌 꼴라보 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 화공이 너무 조아 ㅠㅠㅠㅠㅠ,357,0
8, 개시바하면짖는시바개              ,워크맨 편집이 진짜 재밌는건상황에 맞는 짤과 자막 그리고뀨가 쫌만 개소리 나가면 컷하는 센스 ㅋㅋ,281,0
9, 주네JUNE              ,아진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갈수록 자막도 고퀄이 되어가는 것 같아요 너무 웃겨 ㅠㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋ,300,0
10, 한국민속촌 춘삼이는 꽃거지              ,편집되서 그러지 우리가 타이어 진짜 많이 날랏는데ㅜㅠㅜㅠㅠ 나간건 내가 밥주워먹는거뿐 ㅜㅠㅜㅠ 엉엉 ㅜㅠㅠㅠ유튜브채널 우라늄도 많이 사랑해줘요 제발!!!,3800,0
11, 심수연              ,4:54 OK~,576,0
12, PARK KYUNGTAE              ,민속촌 분들 왜이렇게 반갑냐 진짜 ㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,513,0
13, ㅈH현              ,뜻밖의 민속촌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,446,0
14, gygygy hong              ,콜센터 알바스키장 알바공장 생산직 알바쿠팡 물류센터 알바연말정산 입력 알바방청객 알바서빙 알바마트 알바셀프세차 알바인천공항 알바웨딩홀 알바인테리어 알바많아요 ㅋㅋㅋㅋㅋ,32,0
15, 생갈치1호의행방불명              ,아임 ‘타이어’드ㅋㅋㅋㅋㅋㅋㅋㅋ이런 깨알드립 너무젛아,281,0
16, 윤아나 월드 Yoonana World              ,워크맨 촬영중이라니까 “아닌거 같은데” ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6,0
17, 이한              ,2:25 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 편집자분도 연말시상식 같은대서 상 하나 드려야되 진짜,138,0
18, 허지은              ,민속촌거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 왜 밖에나와서도 거지인데 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋ,34,0
19, Yujin Lee              ,민속촌 일 시키는거 겁나 웃ㄱ넼ㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ( 뭐야 자고 일어났는데 언제 2100개 된거야 감사합니다람쥐 :),2200,0
0, 워크맨-Workman              ,"02:47 JOB것들~~♥ 영원하자아,,~~!!!!😎",10000,0
1, 목베개              ,조금 보고 헤어진다고 우는애들을 보니 애들은 참 순수하구나 라는 생각이든닼ㅋㅋㅋ,2000,0
2, 마이쮸              ,"밥 저정도면 잘 드시는거에여,,,리필은 물론 갑자기 응가하는 아이들이 많아서 밥을 먹는건지 응가를 닦는시간인지 ㅠㅠㅠ 그래도 이쁜이들 웃는모습보며 일합니다~ 뉴스에 나오는 나쁜 ㄴㅑㄴ들 보고 편견갖지 말아쥬세요 ㅠㅠ 진짜로 사랑해서 돌보는 선생님들이 더 많아염💕💕",924,0
3, 김지지              ,선생님들 미치지 않게 근로 조건을 좋게 해줘야 한다.,1300,0
4, 비옹비옹.              ,어린이집 유치원 선생님들 전부 대단함 애들이 귀여운건 있지만 부모님들 애들 맡겨놓고 사사건건 잔소리도 엄청 많을텐데 ... 싫은소리 듣기 싫으면 그전에 애들 교육부터 잘시켜 보내면 좋을텐데 하나도 안시켜보내고 버릇없이 키워놓고는 애뭐 안된다 못한다 소리하면 승질부터 내는 전두엽 활성자들 진짜 많더만,377,0
5, 사나래              ,저런데 안다치고 즐겁게 생활하다 가게끔 해주는거 진짜 대단한건데 학부모들은 본인아이 한명 케어하는거도 힘들어하면서 유독 교사에게만 교육과 보육을 넘은 완벽을 요구함,518,0
6, 윤블리Yoonvely              ,"저렇게 등원부터 하원까지 놀아주는것도 힘들겠지만 원장님 뒤에 있는 서류들을 아이들 하원 후, 영아반은 낮잠시간/ 담임교사은 연장교사있을 때 등등 짬내서 해야합니다.. 서류는 기본 생활기록부같은 개인 서류부터 주마다 관찰일지, 매일 쓰는 일지, 주간 계획안, 월간계획안, 각 안전교육(소방,재난,유괴,교통 등) 계획과 일지, 교사회의록, 교구관리/비품관리대장 이보다 훨씬 많은 서류들을 되도 않는 짧은 시간에 해야하고 행사도 원마다 원장님마다 다르지만 다달이 하나씩 준비하면 엄청 많죠^^ 학기별로 부모상담도 해야하고 성장보고서도 학기별로.. 매달 교구제출 원하시는 원장님도 있으시고..그냥 야근의 연속.. 제발 불필요한 서류 업무를 간소화 해주세요..인원을 늘려야합니다 증말루.. 아직도 여전히 아이들이 그립고 교사라는 직업이 좋지만 야근 생각하면 다시 가고 싶진 않아요 ..ㅠㅠ 특히 영아반 2년 후에는 손목 발목 허리 다 염증에..ㅎㅎ 방광염 이야 선생님들 달고 사는거고 밥은 3분 만에 먹는게 습관이 들어서 외식을 해도 정말 급하게 먹어요. 어린 나이에 몸을 갈아가며 일하다간 나중에 내 아이 못안아줄수도 있어요..(+) 추가 : 그리고 평가인증이라는건 정말 누구를 위한건지 모르겠어요. 그거때문에 3개월의 일지와 서류들을 몰아서 다시쓰고.. 관찰자가 들어와서 해야하는 필수 발문들과 상호작용들.. 선생님들이 몰라서 안하시는거 아니구.. 평가인증 A를 받는 다고 매일 그 상호작용만 하시는 선생님들이 있는게 아닌데 말이죠.. 또 교사 휴게시간..지켜지는 원 있으신가요? 낮잠시간에 교사가 한시간 휴게시간을 가져버리면 퇴근이 한시간 늘어나는건데 .. 강요한다고 쉴 수 있는게 아닌데ㅠㅠ 쉴 여건을 만들어야해용..! 그리고 학부모님들이 계시다면 교사는 사진찍는 기계가 아닙니다..★ 물론 아이들이 잘 지내고 있는지 궁금하실 수 있어요. 제가 있었던 원은 일주일에 하루 다섯장이였지만.. 어떤 원은 키즈노트나 매일매일 개별사진 몇장씩 이라고 들었어요. 그런곳은 하루종일 선생님들이 사진만 찍으십니다. 설정샷 시키구요. 그럼 보육의 질은 더욱 떨어집니다. 사진이 다가 아니에요! 부모님들! 제발! ㅠㅠ제가 길게 댓글을 쓴 이유는 뭐 찡찡거린다고 불편하실 수도 있는데 보육교사 현실이 이렇다는거 .. 그냥 글로 적는거죠.. 그리고 주변에 친구가 보육교사라고 장난으로도 ""애 패지 마라"" 이딴소리 하지마세용 증말 사기 다떨어집ㄴㅣ다.. ㅠㅠ..",2500,0
7, 일일일오              ,시끄러운거 질색하는사람이 보기엔 여태알바한서중에 제일 힘들어보임 아이를 사랑하고 지켜주는맘이 가득해야 할수있을듯,894,0
8, 펭수의참치              ,애들은 아무리 날 힘들게 해도 애들이죠 내가 일년동안 가르치고 키울 애들이요 어린이집 그만두는 교사 열에 아홉은 개진상 학부모때문이에요 ㅋㅋ,582,0
9, 주언이              ,"부모는 사실 원장이 커버 쳐야됨. 이걸 분리 안하면 , 교사가 아이들에게 선입견을 가짐. 교사는 2인 1조로 하고 쉬는시간과 업무내용을 표준화해야함.",652,0
10, 셍마니              ,혀엉 제발 아파트 단지 경비아저씨 리뷰 좀 해줘어어,367,0
11, 삼겹살              ,유치원 어린이집 선생님들이 가장 힘들어하는건아이들의 부모님입니다누구에게나 소중한 자식인데본인 아이만 생각하시니,8000,0
12, reereere le              ,this is what my sister doesnow she takes care of babiesi have no patience for kids 😭😭,15,0
13, Jean Liu              ,"…From Jang teacher’s ins, I am curious to see Jang teacher to be one day Seventeen’s manager (That must be so funny. )",3,0
14, 1 7              ,진심 저기서 나온건 새발의 피임.. 완전 편하게 놀다 가신거..,260,0
15, Amber Rodriguez              ,He was there for 6 hours and these kids are crying over him 😂😂😂 he must’ve really bonded with the kids,147,0
16, I can't              ,주변에 유치원선생님하는 친구들 꽤 있는데 하나같이 하는말이 아기들 돌보는거 까진 괜찮은데 학부모 상대하는게 너무 힘들다고 하드라고요... 유별난 분이많다고..,4000,0
17, 간때문희야              ,00:00 뭐야 왜 잘생긴거야 장성규 잘생겼어 ...,37,0
18, 아연              ,꿈이 이쪽이라 어린이집 봉사도 몇번이나 가보고 어린이도서관에서 매주 프로그램 열어서 봉사하는데 아이 좋아해도 애들 보는 건 진짜 힘듬ㅠㅋㅋㅋㅋㅌ,205,0
19, Perriwinkle III              ,"I don't even understand the damn language and he's one of the funnier YouTubers I watch. And even with as little context as the subtitles give, I worked in daycare. I know the grind",2,0
0, 워크맨-Workman              ,"엑소 매.니.저~~님~~~ 울 피디냥반,,,,카톡좀,,,읽어줘어,,,~~!!!!",38000,0
1, 이지은              ,엑소 매니저 편 보고싶은사람👇🏻,14000,0
2, Luxxii _              ,No make-up SUHO no care like he doesn't need makeup at all😚😘👼,48,0
3, Calliope Delmonte              ,I'm excited for him being EXO manager.. hope they broad cast it soon.,39,0
4, Lhea Jane Socrates              ,"That ""SEVENTEEN is SM"" killed me 🤣🤣🤣🤣🙈🙈🙈🙈🙈🙈🤦🤦🤦🤦🤦🤦🤦😂😂😂😂😂😂",15,0
5, SaranghaeOppaaaaa              ,EXO-L's If you're here because of Suho. Here it is 2:48 Thank me later. 😂,247,0
6, 태은              ,여러분..... 드디어 워크맨 엑소 매니저편 성사됐다고 합니다... 공식기사 뜸 흑흑 사랑해요 워크맨,910,0
7, ᄋtwicexopink              ,I came to watch Suho in this episode but I’m starting to really like his videos,210,0
8, ᄎᄋᄉ              ,엑소 매니저편 올라오면 조회수 박터지겠네 피디 웃는 소리 여기까지들림ㅋㅋㅋㅋㅋ ㄹㅇ 우연으로 행운을 잡았네,994,0
9, Leigh C              ,Lmao at the translation “We been knew”,23,0
10, 냠얌              ,와 아니 근데 어떻게 주유소알바하다가 엑소를 만나지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ타이밍 진짜 신기하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8300,0
11, GAGA              ,아니 기획사 직원들 맞냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소속방송인들 아니고???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 티키타캌ㅋㅋㅋㅋㅋ,3,0
12, renamyeon              ,"that ""Seventeen is from SM?""HAAHHAHAHAHA",0,0
13, Kendrick Tan              ,"PD went ""ooooOOOOOH CONTENT"" when he saw EXO.",89,0
14, For EXO              ,Me here while waiting for episode with EXO,6,0
15, exo엑소 사랑하자              ,Suho❤❤❤,2000,0
16, Tae Tae              ,Bruh they be having nice cars at this gas station lmao,5,0
17, 에리              ,쩌기 워크맨 편집자님.. 바쁘실텐데 엑소 매니저편은 무편집 해주셔도 됩니다 무편집 해도 천만뷰 쌉가능이닛가요 제발ㅠㅜㅠㅜㅜ😭,440,0
18, suho kim              ,"Let sung kyu hyung, be EXOs manager for 1 hour 😂",27,0
19, Amani              ,Can’t wait for exo episode 😭❤️❤️❤️,5,0
0, 워크맨-Workman              ,안녕하세요 워크맨 제작진입니다. 예상치 못한 이슈로 의도치 않게 피해보는 상황이 생겨 해당부분을 삭제하고 재업로드하기로 결정했습니다. 구독자분들께 혼란을 드려 진심으로 죄송합니다.이번 일을 계기로 어깨가 더욱 무거워졌습니다. 그만큼 유익한 정보와 더 큰 즐거움으로 보답하겠습니다.- 워크맨 제작진 일동 -,8300,0
1, sungwoon kim              ,난 워크맨을 보면서 일종의 논란거리가 있는 부분이 좋음. 아르바이트생이나 해당직종에서 일하는 사람들이 느끼는 불합리함을 교묘하게 녹여내는거 같음. 워크맨은 단지 재미가 아니라 우리가 아르바이트를 하면서 을의 입장으로 차마 표현하지 못했던 응어리를 대신 표출해주기 때문에 인기가 있다고 생각함..,8900,0
2, 배달대행              ,현직 배달대행입니다. 아기가 자고있으니 초인종을 누르지마세요라고 쓰지말고 좀 문앞에 놓고 문자달라고해주세요 제발......노크하고 전화하고 옘뱅떠는거 지겹습니다.....노크소리못들으면 전화해야되는데 전화도안받어 아오!!!! 노크소리 안들릴가봐 세개하면 또 시끄럽다고 리뷰에 옘뱅함.....아 어쩌라고.....,848,0
3, 이동희              ,워크맨하면서 언젠가 한 번 쯤은 반드시 터질 문제였다. 사회에 부조리가 정말 많은데 워크맨 촬영이라 그 동안 재미있게 비춰지던 것들도 많았다. 그렇지만 아무리 숨기려해도 숨길 수 없는 것들이 있기 마련이다. 워크맨은 다만 곪아터져 있는 환부를 슥 비추기만 했고 사람들은 환부를 캐치했다.  워크맨은 앞으로도 이런 것들을 양지로 끌어내는 역할을 해야한다.,608,0
4, 김준영              ,집값이 떨어지는게 무슨 워크맨 때문이여 아파트갑질때문이지 ㅁㅊ수준 참,963,0
5, Lama Daowd              ,"To the people of Korea: Please when ordering something ,offer the delivery guy a glass of water they must be really exhausted 🙏",4,0
6, 정은서              ,"워크맨측이 자신들의 영향력을 잘알기에 해당 부분을 편집했지만 워크맨은 잘못한거 없음. 주작한것도 아니고 리얼리티를 위해 사실을 담아냈을뿐. 쓰레기를 찍으면 쓰레기가 찍히는 거지. 그냥 우리 사회의 일면을 보여주는 영상이었다고 생각함. 배달원 전용 엘리베이터 탈 수 있어요 어쩌구 이러길래 아...장성규가 배달알바는 처음하니까 잘몰랐구나 이랬는데 뭐? 화물전용 엘베??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런거 있음 입주민들이나 많이 타세요^^ 지들은 음식냄새도 배기면 안되는 귀한 엘리베이터 타면서 배달원들은 화물용 엘베를 태워??ㅋㅋㅋㅋㄲ미친것들ㅎㅎ양심있음 너네가 1층으로 배달음식 받으러 내려와라;; 그리고 다행인줄 알아. 장성규가 그 사실알고 화물용 엘베타고 배달하는거 찍혔으면 네이버연예기사 1면에 '충격, 장성규 메세나폴리스에서 화물용 엘베타고 배달해...' 떴을테니까;;;",10000,0
7, 꺼내먹구말랭              ,이 기회를 통해 메세나폴리스 집값 떨어지길ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어디서 갑질이야 진짜 어이없네ㅋㅋㅋㅋ,1400,0
8, 최이안              ,진짜 메세나폴리스ㅋㅋㅋㅋㅋㅋㅋㅋ 민폐 하나 때문에 조회수 300만이 날라갔어;; 무개념아 대가리 박고 반성해라ㅋㅋ,411,0
9, 화이트올프              ,메세나폴리스로 배달 경험이 있는데 저것도 촬영이라 장성규님이 입주자용 엘리베이터 탄거예요. 일반 배달원이었으면 저기로 배달 잘 안가려고 해요. 이미 합정에서 배달원끼리는 꺼려하는곳으로 유명해요.,797,0
10, Seong Gyun Kim              ,워크맨 탄생비화와 모든 회차를 봐온 구독자로서 이번 편집을 계기로 워크맨의 내용이 달라질 것 같은 느낌입니다. 있는 그대로 보여주는 리얼이였는데 이제 사회적인 눈치와 분위기를 보면서 결국 선넘는 장성규의 매력에 리미트가 생겨버렸네요. 초심의 리얼이 아닌 그냥 방송예능이 되어버려서 너무 아쉽다.,118,0
11, 신재생에너지              ,"못보신 분들을 위해장성규님이 '메세나폴리스'라는 아파트에 배달을 가는데 주문자가 아파트 바로 앞에 있는 음식점에서 배달을 시킴.그래서 아파트로 배달가는데 입구를 겨우 찾고 인터폰 연결해서 문 염(1차 관문) 그래서 엘베를 타니 3층까지 밖에 안감(2차 관문) 내려서 문을 또 하나 지남(3차 관문) 이제 아파트 전층가는 엘베 탓더니 카드키 찍어야함 (4차 관문) 옆에 입주자분 도움 받아서 (심지어 그분도 자기 사는 층밖에 못감) 25층에서 배달지인 13층까지 내려감.겨우 배달갔더니 초인종에 '아이가 자고 있으니 초인종을 누르지 마세요' 라고 붙어있음(이런 배달을 여러번 시켰다는 거지) 인터뷰 하면서 ""죄송해요 제가 좀 늦었는데 불편하지 않으셨어요?""라고 말하니까 '여기 오시는데 힘들어 하시더라고요' 라고 함.추후에 알려진 사실은 배달원은 거주자 엘베에서 냄새날까봐 화물용 엘베 사용 가능함.(주민 투표로 결정됨) 메세나폴리스로 배달하려면 저렇게 가야 되는데 그걸 알면서 배달시키는것들한테 시청자들이 비난. 그걸 보고 워크맨측이 문제생길까봐 원래 영상에다가 고정댓으로 '처음에 화물용 엘베의 존재를 몰랐다'라고 했다가 아예 재업. 이 영상으로 인해 인터넷 기사도 여러 나옴참고로 난 팩트만 씀",6800,0
12, 말말양              ,메세나 폴리스  대한민국 천민자본주의 의 표상이구나,325,0
13, PORTAL OW              ,임대주민 대피로 막아놓는건 어떤새@끼 대가리에서 나온거냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,82,0
14, lo marlay              ,"이 모든건 메세나 폴리스 거주자 덕분입니다^^ 공론화 시킬 반석을 직접 손으로 마련 하셨네요. 참 대에단 한 건물 살면서 참 대애단한 고객이셨어요. 워크맨과 장성규님은 뭐 잘못한거 하나 없었습니다. 사실만을 영상으로 만들었을 뿐인데, 거만한 고객 하나 때문에 재업로드 하느라 고생이 많으셨음..",139,0
15, 황수와만석              ,그거도없아졌다 자동차가빵빵거려서 왜빵빵거려 자전거우선도론데!하는게없어졌다,284,0
16, 공기              ,합정 메세나 폴리스 반성해라합정 메세나 폴리스 반성해라합정 메세나 폴리스 반성해라합정 메세나 폴리스 반성해라합정 메세나 폴리스 반성해라,7500,0
17, 동수              ,임대세대한테는 비상구도 막아놓는다는 “ 그 “아파트..,160,0
18, 어우야              ,워크맨 잘못없다 구독자라 쉴드가 아니라 지금이 시대가 어느땐데 저 따위건물이 있냐,162,0
19, Byung Wook Park              ,워크맨은 을의 입장을 대변하는 유튜버고..이번 재편집을 통해 갑의 갑질을 다시 보았다..,117,0
0, 워크맨-Workman              ,"JOB것들아~~~♥ 인력소장이다,,,,~~~ 😎울~~수능본 잡것덜~~!! 수고가많었어 아주~~~!!! 스트레스 쌓였걸랑,,~~게스트하우스,,,뭐시기 추천일랑게~!!!바루 비행기티켓 끊어라~~~,,,ㅎㅎㅎㅎㅎ",13000,0
1, jms5324              ,안녕하세요 장민석입니다.혹시나 몇 분 안될.. 궁금해하실 분들을 위해..음원사이트에서 “장민석-게스트하우스”검색하시면 끝까지 들으실 수 있어요!좋은 경험이었습니다! 감사해요👋,12000,0
2, Vanni Yeth Loquellano              ,Minseok-ssi got a lot of exposure in this episode 😂,22,0
3, Kim Dean              ,장성규님 정말 진심으로 이번편에선 즐거워보여서 아빠웃음 지으며 보게됬어요 뭔가 찡함... 지금 최고주가찍으시고계신 장성규님도 어쩌면 이런 소소한 즐거움이 그리웠는지 계속 너무 좋아하는게 눈에보여서 슬픈에피소드같기도하네요 ㅜㅠ,2100,0
4, python pandas              ,핸드폰이 아니라 칫솔을 흔들다니 ㅁㅊ방송이다,2100,0
5, load ing              ,왜 한라산 마이크 얘긴 안보이는거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저렇게 만든거 처음보는뎈ㅋㅋㅋㅋㅋㅋ,690,0
6, jms5324              ,안녕하세요 장민석입니다.혹시나 몇 분 안될.. 궁금해하실 분들을 위해..음원사이트에서 “장민석-게스트하우스”검색하시면 끝까지 들으실 수 있어요!좋은 경험이었습니다! 감사해요👋,12000,0
7, KB LOG              ,너무 자극적인 컨셉으로만 나아가던중 편안함 속에서도 충분히 시청자들에게 즐거움을 줄 수 있음을 증명하는 이번 화 였던 것 같습니다! (특히나 저도 제주도에서 게스트하우스를 운영하는 입장에서 매우 뿌듯 🙇🏻‍♂️ㅋㅋㅋ)  매 화는 불가능하겠지만 가끔씩은 이런 감성넘치는 편들도 기획해서 풍미를 더해주세용! 감사합니다! -제주도민,768,0
8, ひかり              ,냉장고와 화장실사이라고 한 이유는냉정과 열정사이 ost이기 때문입니다..이상 tmi,1200,0
9, Johnston Steiner              ,Oooh babyReally want you in my worlddddd,6,0
10, Epano Entertainment              ,this is one of the episode along with elsa's episode,17,0
11, Noble Stone              ,헉 웃으러 왔다가 가수를 2명이나 발견하다니. 장민석씨 자작곡도 너무 좋고 신예지씨는...가수 지망생 아님? 음색이 정인 뺨치네 ㄷㄷ,3800,0
12, 밤도리              ,안 웃어야지 하고 들었는데최양락에서 한번 터지고김고은에서 빵 터졌네ㅋㅋㅋㅋ그러다 사레걸림🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,784,0
13, 김도영              ,노래를 마지막에 넣은 건 '신의 한 수',527,0
14, Aurea              ,I think this is a personal favourite. It is my third time re-watching it!,47,0
15, mabel              ,this is such an interesting job! never saw anything like this~ looks so fun to spend some nights in a guest house during travels ^^,4,0
